McDonalds
Menu Item,Price,Which Menu,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
The Original Angus,6.2,Lunch,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Classic Angus Cheese,8.95,Lunch,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Big Mac,5.75,Lunch,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Double Cheeseburger,3.5,Lunch,Yes,Yes,Yes,Yes,Yes,Yes,Yes
McSpicy,5.25,Lunch,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Sausage McMuffin,5.75,Breakfast,Yes,Yes,Yes,Yes,Yes,Yes,Yes
